TrialNumber,Average gross pay,HC bearing gross rock volume,HC pore volume,HC water contact - result,Productive area,Recoverable.Accumulation size Total Resources
1965,43.0203,108.573,12.2561,3492.22,2.52375,15.2048
6271,36.6304,131.594,13.2607,3530.24,3.59248,14.9869
642,37.2441,47.8564,5.90745,3397.96,1.28494,6.92433
8762,39.2519,44.4813,4.76417,3374.62,1.13323,5.40124
8536,37.3688,124.086,12.4673,3521.49,3.32059,13.9425
3894,34.5776,163.561,13.5337,3560.79,4.73024,14.9305
9906,37.0669,102.513,12.2763,3501.15,2.76563,14.0977
4283,34.2305,119.519,12.1717,3527.02,3.4916,14.8368
4711,43.8837,133.739,12.0179,3511.59,3.04758,14.1888
1953,35.4403,121.797,13.3853,3525.24,3.43667,15.0395
1185,39.1452,106.033,12.4485,3499.05,2.70871,14.4395
4551,44.8012,82.1492,9.6788,3460.62,1.83364,10.7959
67,40.5829,133.61,12.3604,3520.57,3.29228,15.1196
174,45.8511,114.784,11.9454,3491.47,2.50341,14.6026
7539,39.8916,116.511,13.751,3506.89,2.92069,15.1549
1862,33.9648,132.913,13.7897,3539.15,3.91327,15.2305
8627,36.6307,91.4244,10.4676,3491.19,2.49584,11.4016
397,36.7535,99.9274,10.6192,3499.42,2.71886,11.969
4800,48.2431,96.2909,10.4151,3470.6,1.99595,12.839
4457,35.576,119.427,12.9586,3522.66,3.35696,14.3223
9531,35.4029,141.763,12.7314,3541.58,4.00427,14.3789
7445,39.9516,121.263,12.6797,3511.13,3.03525,14.7605
6447,36.6898,129.313,13.6784,3528.08,3.52449,15.3091
2028,32.9824,97.1462,12.8506,3507.8,2.94539,15.42
5295,34.9486,99.4345,12.6975,3504.09,2.84517,15.368
9775,35.5388,126.452,12.6241,3529.17,3.55815,15.1626
8829,39.3102,122.275,12.3178,3513.92,3.11052,14.7203
4240,37.1897,103.766,13.1452,3502.06,2.79019,15.0606
5234,34.7771,68.6351,9.80614,3469.6,1.97357,11.3246
1259,36.3008,119.507,13.1041,3520.57,3.29213,15.246
9736,36.456,99.9523,11.6614,3500.27,2.74173,13.9611
823,36.6259,130.233,12.0231,3529.1,3.55578,14.4646
9937,37.1122,114.326,11.8296,3512.81,3.08056,12.6164
