TrialNumber,Accumulation size Dry Gas,Accumulation size Dry Gas,Accumulation size Dry Gas from Assoc. Gas,Accumulation size Dry Gas from Assoc. Gas,Accumulation size Dry Gas from Non Assoc. Gas,Accumulation size Dry Gas from Non Assoc. Gas,Accumulation size NGL,Accumulation size NGL,Accumulation size NGL from Assoc. Gas,Accumulation size NGL from Assoc. Gas,Accumulation size NGL from Non Assoc. Gas,Accumulation size NGL from Non Assoc. Gas,Average gross pay,Average net pay,Condensate yield,Depth of crest,Dry gas shrinkage factor,Expansion factor gas (1/Bg),Fraction HC gas losses / fuel use,Gas saturation,Gross rock volume - result,HC bearing gross rock volume,HC pore volume,HC water contact,HC water contact - result,Inplace.Accumulation size Assoc. Gas,Inplace.Accumulation size Condensate,Inplace.Accumulation size Gas,Inplace.Accumulation size HC liquid,Inplace.Accumulation size Non Assoc. Gas,Inplace.Accumulation size Oil,Inplace.Accumulation size Total Resources,Inplace.Yield factor Assoc. Gas,Inplace.Yield factor Condensate,Inplace.Yield factor Non Assoc. Gas,Inplace.Yield factor Oil,Net rock volume - result,Net/gross ratio,NGL yield from non-assoc. gas,Non Assoc. Gas gross rock volume,Non Assoc. Gas pore volume,Porosity,Productive area,Recoverable.Accumulation size Assoc. Gas,Recoverable.Accumulation size Condensate,Recoverable.Accumulation size Gas,Recoverable.Accumulation size HC liquid,Recoverable.Accumulation size Non Assoc. Gas,Recoverable.Accumulation size Oil,Recoverable.Accumulation size Total Resources,Recoverable.Yield factor Assoc. Gas,Recoverable.Yield factor Condensate,Recoverable.Yield factor Non Assoc. Gas,Recoverable.Yield factor Oil,Recovery factor Condensate,Recovery factor Non Assoc. Gas,Reservoir thickness,Spill point depth,Wet gas shrinkage factor
448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.1161,3388.84,0.94,254.011,0,0.771698,231.977,0,0,3166.59,3166.59,0,0,0,0,0,0,0,0,0,0,0,0,0.792458,0,0,0,0.144738,0,0,0,0,0,0,0,0,0,0,0,0,0.510587,0.716169,36.1569,3695,1
3371,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.4408,3554.72,0.94,263.057,0,0.735912,257.743,0,0,3166.59,3166.59,0,0,0,0,0,0,0,0,0,0,0,0,0.681706,0,0,0,0.134325,0,0,0,0,0,0,0,0,0,0,0,0,0.470493,0.695714,40.2545,3695,1
5960,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.6359,3567.67,0.94,257.031,0,0.761393,193.713,0,0,3166.59,3166.59,0,0,0,0,0,0,0,0,0,0,0,0,0.738046,0,0,0,0.147,0,0,0,0,0,0,0,0,0,0,0,0,0.535436,0.678899,30.099,3695,1
8146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.9149,3531.5,0.94,255.721,0,0.805802,205.117,0,0,3166.59,3166.59,0,0,0,0,0,0,0,0,0,0,0,0,0.736663,0,0,0,0.167118,0,0,0,0,0,0,0,0,0,0,0,0,0.533332,0.685598,31.9001,3695,1
9549,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.6511,3466.37,0.94,255.041,0,0.804127,183.169,0,0,3166.59,3166.59,0,0,0,0,0,0,0,0,0,0,0,0,0.681629,0,0,0,0.156752,0,0,0,0,0,0,0,0,0,0,0,0,0.576606,0.648826,28.4368,3695,1
5745,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.3894,3370.69,0.94,252.711,0,0.798604,206.488,0,0,3166.59,3166.59,0,0,0,0,0,0,0,0,0,0,0,0,0.758292,0,0,0,0.160571,0,0,0,0,0,0,0,0,0,0,0,0,0.515917,0.719912,32.117,3695,1
220,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.1632,3470.68,0.94,253.063,0,0.809443,237.741,0,0,3166.59,3166.59,0,0,0,0,0,0,0,0,0,0,0,0,0.739162,0,0,0,0.155227,0,0,0,0,0,0,0,0,0,0,0,0,0.536318,0.718696,37.0725,3695,1
5032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.9725,3445.99,0.94,253.436,0,0.806601,211.494,0,0,3166.59,3166.59,0,0,0,0,0,0,0,0,0,0,0,0,0.868187,0,0,0,0.158423,0,0,0,0,0,0,0,0,0,0,0,0,0.569331,0.681895,32.909,3695,1
7401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.5278,3572.39,0.94,250.875,0,0.776036,231.482,0,0,3166.59,3166.59,0,0,0,0,0,0,0,0,0,0,0,0,0.754892,0,0,0,0.142239,0,0,0,0,0,0,0,0,0,0,0,0,0.492745,0.714553,36.0785,3695,1
9756,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.3806,3499.21,0.94,253.719,0,0.772413,184.212,0,0,3166.59,3166.59,0,0,0,0,0,0,0,0,0,0,0,0,0.825881,0,0,0,0.134546,0,0,0,0,0,0,0,0,0,0,0,0,0.525706,0.719772,28.6011,3695,1
